There were varying degrees of Romanization throughout Roman Dacia.	達契亞行省各處都有不同程度的羅馬化。
He subsequently bought a cheap Moog at a pawn shop and wanted it to be an integral part of Motion City upon their formation.	隨後，他在一家當鋪買了便宜的 Moog，並希望它成為 Motion City 成立後的必要部分。
Johnson became known for his signature "Moogstand" in live performances, which consisted of a handstand on the instrument.	Johnson 以其現場表演中的簽名「Moogstand」而聞名，其中包括樂器的倒立架。
The group has been widely attributed to a number of different genres, including pop rock, power pop, indie rock, emo, and pop punk.	該樂隊被廣泛歸因於多種流派，包括流行搖滾、強力流行、獨立搖滾、Emo 和流行朋克。
Joshua Cain dismissed this latter label, remarking, "I definitely wouldn't consider us a pop-punk band.	Joshua Cain 駁回了後一個唱片公司的評論，他說：「我絕對不會認為我們是一支流行朋克樂隊。
Our influences are more based on '90s bands like Superchunk and early Weezer." Pierre characterized the band's music as "dirty, fast, happy, emotional rock songs."	我們的影響力更多地來自於90年代的 Superchunk 和早期樂隊 Weezer。」 Pierre 將樂隊的音樂描述為「骯髒，快速，快樂，充滿情感的搖滾歌曲。」
Nylon compared the music of their debut album, I Am the Movie, to All and the Get Up Kids.	Nylon 比較他們的首張專輯《I Am the Movie》與《All and the Get Up Kids》。
It has been described as having a "distinctly unified and identifiable style." Subsequent releases varied in style.	它被描述為具有「明顯統一和可識別的風格」。後續發行的音樂風格各異。
My Dinosaur Life, for example, saw the band attempting to emulate their favorite post-hardcore acts, such as Archers of Loaf and Dinosaur Jr.	例如，My Dinosaur Life 看到如 Archers of Loaf 和 Dinosaur Jr 等樂隊試圖模仿他們喜歡的後硬蕊表演。
"I Am Your Leader" is a hardcore hip-hop and electro-hop song that runs for three minutes and thirty-three seconds.	《I Am Your Leader》是一首硬蕊嘻哈和電子歌曲，曲長三分三十三秒。
The production consists of a "chilled-out, humming beat punctuated on the chorus with a blunted fake-horn hook—halfway between classic-era Neptunes and Look At Me Now" according to Andrew Unterberger of Popdust.	根據 Popdust 的 Andrew Unterberger 的說法，這首作品包括一個「冷靜的，嗡嗡作響的節拍，在合唱中穿插著混音的假喇叭鉤子 - 介於經典時代的 Neptunes與 Look At Me Now 之間」，
It also contains repetitive, high-pitched, off-pitch synth hooks, and a booming, static bass.	還包含重複、高音調、走音的合成器鉤子，以及一個閃亮節奏的靜態低音。
"I Am Your Leader" makes use of sparse beats, frills, minimal instrumentation, and allows Minaj's rhymes to be the focal point, all of which gives the song "something of a mixtape feel" according to Joe Rivers of No Ripcord.	根據《No Ripcord》雜誌的Joe Rivers的說法，《I Am Your Leader》利用稀疏的節拍、修飾音、最小的器樂譜寫，並允許 Minaj 的韻律成為焦點，所有這些都給了這首歌「某種混音帶的感覺」。
In his review of the song, Unterberger of Popdust noted Hit-Boy's modern hip hop production, saying "Diplo and Bangladesh might have to watch their back after the up-and-comers contributions to this album." Adam Fleischer of XXL said "Nicki dishes boast-heavy verses about how she’s better than all these other bitches."	Popdust 的 Unterberger 在對這首歌的評論中指出了 Hit-Boy 的現代嘻哈製作，他說：「Diplo 和孟加拉國可能不得不在這張專輯的後起之秀之後難望項背。」《XXL》的 Adam Fleischer 說：「Nicki 閒聊吹噓她如何比所有其他美眉更好」。
"I Am Your Leader" received positive reviews from critics.	《I Am Your Leader》獲得了評論家的推崇評價。
Andrew Unterberger of Popdust gave it a 4-star rating, complimenting Minaj's rapping as well as the guest verses of Cam'ron and Rick Ross.	Popdust 的 Andrew Unterberger 對這首歌給 4 星評級，稱讚了 Minaj 的說唱以及 Cam'ron 和 Rick Ross 的客座詩句。
However, Unterberger felt that Minaj was overshadowed by the guest verses.	然而，Unterberger 認為 Minaj 被客座詩句所掩蓋。
Andrew Hampp of Billboard echoed Unterberger's sentiments, saying "The nostalgia of Cam's return trumps the overall catchiness of the song." XXL Magazine stated that "Though many of the early songs [on the album] lack real substance, the records remain generally exciting - “I Am Your Leader,” alongside Rick Ross and Cam’ron, “Beez In The Trap” with 2 Chainz, and the triumphant “Champion” featuring Nas, Drake and Young Jeezy are all memorable moments".	Billboard 的 Andrew Hampp 回應 Unterberger 的觀點，他說：「對 Cam 回歸的懷舊情緒勝過了這首歌的整體朗朗上口。《XXL》雜誌指出，「雖然[專輯中的]許多早期歌曲缺乏真正的內容，但唱片仍然普遍令人興奮 - 與 Rick Ross 和 Cam'ron 一起的《I Am Your Leader》，與 2 Chainz 合作的《Beez In The Trap》，以及 Nas、Drake 和 Young Jeezy 的勝利《Champion》都是令人難忘的時刻」。
Joe Rivers No Ripcord praised "I Am Your Leader" along with "Beez in the Trap" for being "thrilling" and making "good use of cameos".	《No Ripcord》雜誌的 Joe Rivers 稱讚《I Am Your Leader》和《Beez in the Trap》「令人興奮」並「很好地利用了客串」。
Stephen Deusner of Paste Magazine said that "On the nursery rhyming “I Am Your Leader,” [Minaj] spits yet another dick joke like a playground jeer, slyly undermining hip-hop's traditionally male-centric braggadocio.	《Paste Magazine》雜誌的 Stephen Deusner 說：「在童謠《I Am Your Leader》，[Minaj] 輕蔑地說另一個生殖器笑話，就像遊樂場的嘲笑者一樣，狡猾地破壞了嘻哈傳統上以男性為中心的吹噓。
She's not only participating in phallocentric boasting; she's also inflating the convention with a Swedish penis pump until it's just shy of bursting".	她不僅參與以為中心的吹噓；她還用瑞典真空助勃器來充氣，直到它爆裂」。
David Jeffries of Allmusic listed it as one of the best tracks on the album.	Allmusic 的 David Jeffries將其列為專輯中最好的曲目之一。
Matthew Cole of Slant Magazine stated that "'I Am Your Leader' and 'Beez in the Trap' [are] two excellent tracks which manage to sound both bubbly and heavy as Minaj delivers her most effortlessly entertaining shit-talk to date".	《Slant Magazine》雜誌的Matthew Cole表示，《I Am Your Leader》和《Beez in the Trap》[是]兩首優秀的曲目，當Minaj提供她迄今為止最輕鬆的娛樂性廢話時說，它們聽起來既活潑又沉重」。
Ryan Dombal of Pitchfork called "Come On A Cone" and "I Am Your Leader" "two brilliantly off-kilter songs".	Pitchfork 的 Ryan Dombal 稱《Come On A Cone》和《I Am Your Leader》是「兩首精彩絕倫的歌曲」。
Tom Ewing of The Guardian said that "On "I Am Your Leader", [Minaj] drops a couple of octaves to gleefully pompous effect".	《衛報》(Guardian) 的 Tom Ewing 說：「在《I Am Your Leader》中，[Minaj]放了幾個八度音階，以達到令人愉悅的浮誇效果。」
Kevin Ritchie of NOW Magazine named it the top track of the album.	《NOW》雜誌的 Kevin Ritchie 將其稱為專輯的最受歡迎曲目。
Kyle Anderson of Entertainment Weekly named it one of the best tracks on the album along with "Champion".	《娛樂週刊》(Entertainment Weekly) 的 Kyle Anderson 將其與《Champion》一起評為專輯中最好的曲目之一。
The video begins with a pink mailbox with the song's title on the front written in different fonts.	影片的開頭是前面用不同字體寫著曲名的粉紅色郵箱。
The video is set in a playhouse esque brightly coloured house.	該影片設定在色彩鮮豔的劇院內。
The episode was written by Richard Appel, but the idea of Bart and Lisa attending a military academy had previously been pitched, and had been floating around since 1991.	這一集是由 Richard Appel寫劇本，但 Bart 和 Lisa 上軍事學院的想法以前就有人提出過，並且從 1991 年以來一直流傳。
The idea had not yet been used as an episode plot, because the writers had not felt comfortable with taking Bart and Lisa to a strange place early in the series.	這個想法還沒有被用作劇集情節，因為編劇們對在劇集早期把 Bart 和 Lisa 帶到一個陌生的地方感到不舒服。
During the scene where the Commandant is talking, there is a brief shot of Lisa blinking.	在指揮官說話的場景中，有一個 Lisa 眨眼的簡短鏡頭。
As there had been an error in the final print of the episode, the shot was animated, painted and shot on May 16, 1997, the Friday before the episode's airdate.	由於該集的最終成品有誤，因此拍攝畫面於 1997 年 5 月 16 日 (即該集播出日期前的星期五) 進行動畫製作、繪畫和拍攝。
The spiky blond-haired boy, who runs towards the Eliminator while screaming, is a caricature of director Mike B. Anderson.	這個尖尖的金髮男孩，在尖叫聲中跑向消除器，這是導演 Mike B. Anderson 的諷刺漫畫。
The episode originally aired on May 18, 1997, as the season finale, along with a rerun of "The Springfield Files." The episode was mistakenly anticipated by some as being about Lisa launching "a legal battle" to enroll at the military school.	該集最初於1997年5月18日播出，作為本季大結局，以及「The Springfield Files」的重播。這一集被一些人錯誤地認為是關於麗莎發起「一場法律戰」以進入軍校。
In its original broadcast, "The Secret War of Lisa Simpson" finished 47th in ratings for the week of May 12–18, 1997, with a Nielsen rating of 8.3, equivalent to approximately 8.1 million viewing households.	在首播中，《麗莎·辛普森的秘密戰爭》(The Secret War of Lisa Simpson) 在 1997 年 5 月 12 日至 18 日這一週的收視率中排名第 47 名，尼爾森收視率為 8.3，相當於約 810 萬家庭收視率。
It was the second highest-rated show on the Fox network that week, following The X-Files.	這是本週福克斯電視網收視率第二高的節目，僅次於《X檔案》。
Warren Martyn and Adrian Wood, the authors of the book I Can't Believe It's a Bigger and Better Updated Unofficial Simpsons Guide, disliked the episode, writing that it was "very dull" and that Dafoe was not used well.	Warren Martyn 和 Adrian Wood 是《我簡直不敢相信這是更大更新的辛普森家庭非官方指南》（I Can't Believe It's a Bigger and Better Updated Unofficial Simpsons Guide）一書的作者，他們不喜歡這一集，寫道它「非常沉悶」，Dafoe 角色未充分發揮。
However, Dafoe is one of show runner Josh Weinstein's favorite guest stars.	然而，Dafoe 是 Josh Weinstein 最喜歡的客串明星之一。
Ian Johnson argued Dafoe's casting was "rare" and "somewhat offbeat".	Ian Johnson 認為 Dafoe 的選角是「罕見的」，而且「有點另類」。
Journalist Raju Mudhar also wrote that in this episode, "The Simpsons have succinctly laid out our eventual future." This referred to the rise of robots (such as combat drones) in the real world and the quote from this episode:	記者 Raju Mudhar 也寫道，在這一集中，「辛普森一家簡明扼要地闡述了我們最終的未來」。這指的是機器人（如戰鬥無人機）在現實世界中的興起以及本集的引用：
"The wars of the future will not be fought on the battlefield or at sea.	「未來的戰爭不會在戰場上或海上進行。
They will be fought in space, or possibly on top of a very tall mountain.	他們將在太空中戰鬥，或者可能在一座非常高的山頂上進行戰鬥。
In either case, most of the actual fighting will be done by small robots.	無論哪種情況，大多數實際戰鬥都將由小型機器人完成。
And as you go forth today remember always your duty is clear: To build and maintain those robots."	當你今天走出去時，永遠記住你的職責是明確的：建造和維護這些機器人。」
The episode was one of four in 1999 released on a VHS (Re-released on DVD in 2005) called Bart Wars focused on crosses between The Simpsons and Star Wars.	這一集是 1999 年在VHS上發行的四集之一（2005 年在 DVD 上重新發行），名為《星球大戰》(Bart Wars)，專注於辛普森一家和星球大戰之間的交錯。
However, one critic wrote that with this episode and "Marge Be Not Proud" and "Dog of Death," both of which are also on the DVD, the "Star Wars connection" is "tangential at best."	然而，一位評論家寫道，這一集和《瑪姬不驕傲》(Marge Be Not Proud)和《死亡之犬》(Dog of Death) 也在 DVD 上，「星球大戰的聯繫」充其量是「無關緊要的」。
By end of the 16th century Cassel had become a border town between France and the Spanish Netherlands.	到 16 世紀末，Cassel 已成為法國和西班牙荷蘭之間的邊境城鎮。
The French repeatedly fought with Spain and later the independent Dutch Republic for control of the town; in March 1645, Gaston, Duke of Orléans seized it but lost it again to the Spanish a few months later.	法國人多次與西班牙和後來獨立的荷蘭共和國爭奪該鎮的控制權。1645 年 3 月，奧爾良公爵加斯東 (Gaston, Duke of Orléans) 奪取了它，但幾個月後再次將其輸給了西班牙人。
In 1658 Turenne expelled two Irish regiments in the pay of the Spanish who were garrisoning Cassel.	1658 年，Turenne 驅逐了兩個愛爾蘭軍團，以支付駐守 Cassel 的西班牙人的薪水。
The French captured the town in July 1676 under Louis de Crevant, Duke of Humières and strengthened the castle.	1676 年 7 月，法國人在休米埃爾公爵路易·德·克雷萬特 (Louis de Crevant, Duke of Humières) 的領導下佔領了該鎮，並加固了城堡。
The following year, a third Battle of Cassel took place just west of the town on 11 April 1677 when a French army under François-Henri de Montmorency, duc de Luxembourg and Philippe I of Orléans defeated Dutch forces commanded by William III of Orange.	次年，第三次 Cassel 戰役於 1677 年 4 月 11 日在該鎮以西發生，當時弗朗索瓦·亨利·德·蒙莫朗西，盧森堡公爵 (François-Henri de Montmorency, duc de Luxembourg) 和奧爾良公爵菲利普一世 (Philippe I of Orléans) 領導的法國軍隊擊敗了奧蘭治親王威廉三世 (William III of England) 指揮的荷蘭軍隊。
The battle took place after King Louis XIV of France besieged the Dutch-held town of Saint-Omer during the Franco–Dutch War.	這場戰役發生在法國國王路易十四在法荷戰爭期間圍攻荷蘭控制的聖奧梅爾鎮 (Saint-Omer) 之後。
William sent an army to relieve Saint-Omer but was defeated at the village of Zuytpeene just to the west of Cassel, losing 7-8,000 men killed or wounded and another 4,000 taken prisoner.	威廉派出一支軍隊去解救聖奧梅爾鎮 (Saint-Omer)，但在 Cassel 以西的 Zuytpeene 村被擊敗，損失了 7,000-8,000 人死亡或受傷，另有 4,000 人被俘。
Saint-Omer fell a week later.	一週後，聖奧梅爾鎮 (Saint-Omer) 被攻陷。
Cassel was annexed to France the following year under the terms of the Treaty of Nijmegen, which ended the war.	次年，Cassel 根據《奈梅亨條約》(Treaty of Nijmegen) 的條款被併入法國，結束了戰爭。
The annexation led to the town's defences being dismantled; it was considered indefensible, as it was within easy firing range of the nearby Mont des Récollets, and it would have cost far too much to fortify both hills.	吞併導致該鎮的防禦工事被拆除；這被認為是無法防衛的，因為該鎮在附近的 Mont des Récollets 的輕鬆射擊範圍內，而且加固兩座山丘的成本太高。
In addition, the revised frontier following the treaty was now a significant distance from Cassel and without the proximity of the border, the town was no longer seen as having much strategic significance.	此外，根據條約修訂的邊界現在距離 Cassel 很遠，沒有邊界的接近，該鎮不再被視為具有太大的戰略意義。
During the French Revolutionary Wars, Cassel is said to have been the hill up which the Grand Old Duke of York marched his 10,000 men before he "marched them down again".	在法國大革命戰爭期間，據說 Cassel 是大老約克公爵 (Grand Old Duke of York) 在「再次將他們趕下」之前他的10,000名士兵行進的山丘。
While it is true that Prince Frederick, Duke of York and Albany, did command an army in the Flanders Campaign of 1793 and was probably in the vicinity, the link with Cassel is considered dubious as the eponymous nursery rhyme appears to have originated well before the Revolutionary Wars.	雖然腓特烈王子 (Prince Frederick, Duke of York and Albany) 確實在 1793 年的佛蘭德斯戰役 (Flanders Campaign) 中指揮過一支軍隊，並且可能就在附近，但與 Cassel 的聯繫被認為是可疑的，因為同名的童謠似乎起源於獨立戰爭之前。
The population of Cassel grew to about 4,200 people by the mid-19th century.	到 19 世紀中葉，Cassel 的人口成長到約4 ,200 人。
Benjamin Disraeli, later to become Prime Minister of the United Kingdom, stayed there for a month in September–October 1845 and wrote in a letter to his sister Sarah that he considered it "an extremely savage place; few of the inhabitants, & none of the humbler classes, talk French, there is no library, bookseller's shop, nor newspaper of any sort ...	班傑明·迪斯雷利 (Benjamin Disraeli) 後來成為英國首相，於 1845 年 9 月至 10 月在那裡停留了一個月，並在給妹妹莎拉的一封信中寫道，他認為這是「一個極其野蠻的地方；少數居民，和沒有一個謙遜的階層、講法語、沒有圖書館、書店、也沒有任何形式的報紙......
It is quite French Flanders, their provisions come from Holland, the Hotel de Ville was built by the Spaniards, the carillons are perpetually sounding, & religion is supreme."	這是相當法國法蘭德斯地區 (French Flanders)，他們的食物來自荷蘭，市政廳是由西班牙人建造，鍾琴永遠悠揚，且宗教至高無上。
In 1848, Cassel gained a railway connection when the Lille-Dunkirk line was built.	1848 年，Cassel 在里爾-敦克爾克線 (Lille-Dunkirk) 建成時獲得了鐵路連接。
The station is, however, at the foot of the hill at Oxelaëre some 3 kilometres (1.9 mi) from the centre of Cassel.	然而，該車站位於 Oxelaëre 山腳下，距離 Cassel 市中心約3公里（1.9英里）。
To link the two places, an electric tramway was built under the auspices of the Compagnie des Tramways de Cassel, which operated between 1900 and 1934. It was replaced by a bus link which still operates today.	為了連接這兩個地方，在1900年至1934年間運營的 Compagnie des Tramways de Cassel 的贊助下建造了一條電動有軌電車，它被今天仍在運營的公車線路所取代。
Cassel served as the headquarters of Marshal Ferdinand Foch during the early part of the First World War, between October 1914 and May 1915.	Cassel 在第一次世界大戰初期（1914 年 10 月至 1915 年 5 月）擔任馬歇爾‧斐迪南‧佛區 (Marshal Ferdinand Foch) 指揮官。
Kruščica belonged to a group of concentration camps in the Independent State of Croatia where mass executions of inmates were performed.	Kruščica 屬於克羅埃西亞獨立國 (Independent State of Croatia) 的一群集中營，在那裡大規模處決囚犯。
During first two months of the functioning of the camp, local residents killed three thousand people within it.	在集中營運作的前兩個月，當地居民殺死了其中的三千人。
At the end of July 1941, the Ustaše, under the command of Boško Cvjenćek, captured and transported a group of 74 Serbs from Pale to the Kruščica camp with the false explanation that they were going to work and earn money.	1941 年 7 月底，烏斯塔沙人 (Ustaše) 在 Boško Cvjenćek 的指揮下，俘虜了一群 74 名塞爾維亞人 (Serbs)，並將其從帕萊 (Pale) 運送到克鲁斯奇卡 (Kruščica) 集中營，並謊稱他們要工作和賺錢。
All of them were killed.	他們都被殺了。
All of them were cruelly massacred by Ustaše during the night on 5 August 1941.	在 1941 年 8 月 5 日的夜間，他們所有人都被烏斯塔沙人殘忍地屠殺。
According to a 2001 work published by Hrvatski informativni centar and authored by Topalović, imprisoned Serbs were actually political prisoners who attacked the Ustaše, attempting to kill them, refusing all calls for surrender, so the Ustaše were forced to kill them.	根據 Hrvatski informativni centar 於 2001 年出版並由 Topalović 著作的一部作品，被監禁的塞爾維亞人實際上是政治犯，他們襲擊且試圖殺死烏斯塔沙人，並且拒絕了所有投降的呼籲，因此烏斯塔沙人被迫殺死他們。
Topalović also emphasized that the Ustaše commander of the camp, Josip Tehler was killed attempting to suppress the rebellion.	Topalović 還強調，集中營的烏斯塔沙指揮官 Josip Tehler 在試圖鎮壓叛亂時被殺。
The first transport of inmates arrived at Kruščica between 28 August and 1 September 1941, when around 1,000 people, mostly Jewish women and children, were transported from concentration camps on Pag and in Gospić.	1941 年 8 月 28 日至 9 月 1 日之間第一批囚犯抵達克鲁斯奇卡，當時約有 1,000 人（其中大多數是猶太婦女和兒童）從帕格 (Pag) 和戈斯皮奇 (Gospić) 的集中營被運走。
During the night of 3 September 1941, members of the Ustaše broke into the houses of Jewish residents of Sarajevo, captured the inhabitants, and transported them to Kruščica.	1941 年 9 月 3 日夜間，烏斯塔沙成員闖入塞拉耶佛 (Sarajevo) 猶太居民的房屋，俘虜了居民，並將他們運送到克鲁斯奇卡。
The next day, the Ustaše plundered the homes of imprisoned Jewish victims.	第二天，烏斯塔沙人掠奪了被監禁的猶太受害者的家園。
At the beginning of September 1941, there were approximately 3,000 people interned in Kruščica camp, including 300 Serb women and children, with the remainder being Jews.	1941 年 9 月初，大約有 3,000 人被關押在克魯什奇察集中營，其中包括 300 名塞爾維亞婦女和兒童，其餘是猶太人。
All were housed in two buildings, 80 people to each room, without basic living conditions.	所有人都住在兩棟樓中，每個房間 80 人，沒有基本的生活條件。
The Jewish community from Zagreb sent carloads of packages to inmates in Kruščica.	來自薩格勒布 (Zagreb) 的猶太社區寄送了一車包裹給克鲁斯奇卡的囚犯。
Local Ustaše burned these before the eyes of hungry children and women, who were unable to retrieve anything.	當地的烏斯塔沙人在饑餓的兒童和婦女眼前燒毀了這些，他們無法取回任何東西。
It was difficult to accommodate and feed the inmates of this camp, so the Ustaše decided to resolve this difficulty by torturing inmates with forced labour and hunger and by killing them.	這個集中營的囚犯很難容納和餵養他們，所以烏斯塔沙人決定以強迫勞動和饑餓方式折磨囚犯並殺死他們來解決此困難。
The camp was destroyed after the Second World War.	該集中營在第二次世界大戰後被摧毀。
One building was restored, and a memorial area, occupying around 2,000 m² was established, consisting of the restored building (containing a museum), a monument created by Fadil Bilić, incorporating a text from Ivan Goran Kovačić's poem Jama, and several memorial plaques commemorating communities interned in the camp (including those from Zenica and Pale).	一座建築被修復，並建立了一個佔地約 2,000 平方公尺的紀念區，這包括經過修復的建築（包含博物館），由 Fadil Bilić 設立的紀念碑，融合了 Ivan Goran Kovačić's 的詩歌 Jama 的本文，以及幾塊紀念集中營中被拘留的社區（包括 Zenica 和 Pale 的紀念碑）。
This memorial area became known as the 'Black House' (Crna kuća).	這個紀念區被稱為「黑屋」 (Crna kuća)。
During the War in Bosnia & Herzegovina, the museum's contents were removed.	在波士尼亞與赫塞哥維納 (Bosnia & Herzegovina) 戰爭期間，博物館的內容被去除了。
In 2014, the site was declared a National Monument of Bosnia and Herzegovina.	2014 年，該遺址被宣佈為波士尼亞與赫塞哥維納國家紀念碑。
Originally, Silberling envisioned employing novice actors in the lead roles, but acknowledged performers with the level of recognition of Cage and Meg Ryan would attract support for the production.	布萊德 (Silberling) 原先想僱用新秀演員擔任主角，但明白演技深受肯定的凱吉 (Cage) 和梅格·萊恩 (Meg Ryan) 對於製片將成為具吸引力的支持。
After having completed action-oriented roles in The Rock, Con Air and Face/Off, Cage was eager to star in a more profound film when he received Stevens' screenplay.	凱奇在演出《絕地任務》(The Rock)、《空中監獄》(Con Air) 和《變臉》(Face/Off) 等動作片角色後，在接到史蒂文斯 (Stevens) 的劇本後，渴望出演一部更深刻的電影。
He agreed to accept the role, noting the spiritual issues in the story and the impact it had on him, but not elaborating on his own beliefs.	凱奇同意擔任賽斯 (Seth) 角色，他注意到故事中的靈性議題及其對他的影響，但沒有詳細說明自己的信仰。
Ryan also agreed to accept the role of Maggie, remarking "I don't know if angels are floating around, but the idea that there's a guiding force is something I embrace".	萊恩也同意擔任瑪姬 (Maggie) 這個角色，他說：「我不知道天使是否漂浮在周圍，但有一種引導力的想法是我所接受的。」
Andre Braugher, an actor on the television series Homicide: Life on the Street, was able to work on the project while Homicide was on break before the beginning of its sixth season.	電視劇《情理法的春天》（Homicide: Life on the Street）的演員安德魯·布瑞格 (Andre Braugher) 在《情理法的春天》第六季開始前的休息時間期間，他能夠參與這部電影。
His new co-star Dennis Franz was also starring on a police procedural series, NYPD Blue.	他的新聯合主演丹尼斯·法蘭茲 (Dennis Franz) 還出演了一部警察程序系列劇《紐約重案組》(NYPD Blue)。
Cage said that with this role, he had to switch from his regular methods of constant movements to trying to be "effective" while often still.	凱奇說，由於演出這個角色，他必須從保持定期經常運動轉變為試圖「有效率」的運動。
He remarked on having to adopt the mindset of a child, and act impressed by commonplace experiences such as feeling rain or sunlight.	他評論說，必須懷有赤子之心，並對感受雨水或陽光等司空見慣的體驗有印象深刻。
A rig for the camera was built for the scene where the angelic Seth sees Maggie look in the mirror, and the crew shot the mirror without the actors for one take so Cage's reflection could be edited out from the take with both.	為天使般的賽斯看到瑪姬照鏡子的場景建造了一個攝影機裝備，工作人員在沒有演員的情況下拍攝了鏡子，使得可以從拍攝中編輯出凱奇的反射。
Other special effects involved a "going to the light" afterlife depiction, in which Seth walks with a little girl, played by Sarah Dampf, who has died.	其他特效涉及「走向光明」的來世描繪，其中賽斯與一個小女孩一起走路，這名小女孩由已經去世的莎拉·丹普夫 (Sarah Dampf) 飾演。
After cinematographer John Seale shot the scene in a hallway, Sony Pictures Imageworks' John Nelson increased the brightness to end in white, adding splinters of light.	在攝影師約翰·西爾 (John Seale) 在走廊里拍攝了這個場景後，索尼圖形影象動作公司 (Sony Pictures Imageworks) 的約翰•尼爾森 (John Nelson) 將亮度加到白色，增添光的碎片。
Some of the film was shot at Lake Tahoe's surrounding areas and Kern County.	這部電影的部分內容是在太浩湖 (Lake Tahoe) 的周邊地區和克恩郡 (Kern County) 拍攝。
The "falling" scene was partially shot at the Los Angeles Bank of America, while Cage was placed on a moving rig over a bluescreen.	「墜落」的場景部分是在洛杉磯美國銀行拍攝的，而凱奇則在藍幕上方的移動鑽機上。
Ryan's death scene was filmed on Old Mill Road in Crestline, California.	萊恩的死亡場景是在加州克雷斯特萊恩 (Crestline) 的 Old Mill Road 拍攝。
The library scenes were shot at San Francisco Public Library.	圖書館場景是在舊金山公立圖書館 (San Francisco Public Library) 拍攝。
For angel scenes shot at Malibu Beach, though the characters are not physical beings, it was decided that the angels would have briefly visible footprints to avoid the perception that the sand was too hard to leave imprints.	對於在馬里布海灘 (Malibu Beach) 拍攝的天使場景，雖然角色不是有形存在體，但決定天使會有短暫的可見腳印，以避免人們認為沙子太難留下印記。
Thus, Nelson erased the footprints soon after they are first seen.	因此，尼爾森 (Nelson) 在第一次看到腳印後不久就把它們抹去了。
The score was composed by Gabriel Yared, often using three notes to convey ascent.	電影配樂由蓋布瑞·雅德 (Gabriel Yared) 作曲，通常使用三個音符來傳達上天堂。
Pop synthesizers, pianos and strings were used for the three-note compositions where the angels observe Los Angeles, where the child in the prologue dies and where Seth experiences Maggie's despair, respectively.	在天使觀察洛杉磯、序幕中的孩子死亡和賽斯分別經歷瑪姬的絕望等三段場景中使用流行合成器、鋼琴及弦樂作為配樂。
Yared also employed violins and celli, sometimes using one to accompany a line of voice-over dialogue and another for follow-up dialogue.	雅德還使用小提琴和大提琴，有時使用一把小提琴伴奏一行旁白對話，另一把伴奏後續對話。
With the entry of Japan into the war, Fairley flew to Java in January 1942.	隨著日本參戰，費爾利 (Fairley) 於 1942 年 1 月飛往爪哇 (Java)。
Fairley was well aware that Java produced 90% of the world's supply of quinine and that the implications would be serious if Java was lost.	費爾利很清楚，爪哇生產世界上 90% 的奎寧供應，如果爪哇淪陷，影響將極嚴重。
He arranged for the purchase of all available stocks of quinine, some 120 long tons (120 t).	他安排購買所有可用的奎寧庫存，約 120 長噸 (120 t)。
Fairley was informed that the quinine had been loaded on board two ships.	費爾利被告知奎寧已被裝載在兩艘船上。
One was never seen again.	其中一艘船再也沒見過。
The other, the SS Klang, reached Fremantle in March.	另一艘船是黨衛軍巴生號 (SS Klang)，於三月抵達弗里曼特爾 (Fremantle)。
Although 20 long tons (20 t) of quinine was loaded on board, it was apparently unloaded when the ship stopped at Tjilatjap, possibly due to fifth columnists.	雖然船上裝載了 20 長噸 (20 t) 奎寧，但當船停在 Tjilatjap 時，顯然被卸貨了，嫌疑人可能是第五縱隊成員。
Thus, none of the shipment reached Australia.	因此，沒有一批奎寧到達澳大利亞。
Fairley himself departed Java with the I Corps staff on the transport Orcades on 21 February 1942 shortly before Java fell.	費爾利本人於 1942 年 2 月 21 日與第一軍團參謀人員在爪哇淪陷前不久乘坐運輸隊一起離開爪哇。
In General Sir Thomas Blamey's reorganisation of the Australian Army in April 1942, Fairley was appointed director of medicine at Allied Land Forces Headquarters (LHQ) in Melbourne.	1942 年 4 月，托馬斯·布萊梅 (Thomas Blamey) 爵士對澳大利亞陸軍進行了重組，費爾利被任命為墨爾本盟軍陸軍總部 (LHQ) 醫學主任。
Fairley was soon facing a series of medical emergencies caused by the Kokoda Track campaign.	費爾利很快就面臨由科科達小徑戰役 (Kokoda Track campaign) 引起的一系列醫療緊急情況。
An epidemic of bacillary dysentery was headed off by Fairley's decision to rush all available supplies of sulphaguanadine to New Guinea.	由於費爾利決定將所有可用的磺胍定 (sulphaguanadine) 供應緊急運往新幾內亞，阻止了桿菌性痢疾的流行。
On Fairley's advice every man who complained of diarrhoea was given the drug and the epidemic was brought under control in ten days.	由於費爾利決定將所有可用的磺胍定 (sulphaguanadine) 供應緊急運往新幾內亞，阻止了桿菌性痢疾的流行。
But Fairley's main concern was malaria.	但費爾利主要關心的是瘧疾。
Despite the experience with malaria in the Middle East, most of the troops had a poor understanding of anti-malaria precautions and few medical officers had encountered the disease.	儘管大多數部隊在中東有瘧疾方面的經驗，但對抗瘧疾預防措施知之甚少，很少有醫務人員遇到過這種疾病。
In combination with critical shortages of drugs and anti-malarial supplies such as netting, insecticides and repellents, the result was a medical disaster.	再加上蚊帳、殺蟲劑和驅蟲劑等藥物和抗瘧疾用品嚴重短缺，結果是一場醫療災難。
In the 13-week period from 31 October 1942 to 1 January 1943, the Army reported 4,137 battle casualties, but 14,011 casualties from tropical diseases, of which 12,240 were from malaria.	在 1942 年 10 月 31 日至 1943 年 1 月 1 日的 13 週內，陸軍報告 4,137 名戰鬥傷亡，但 14,011 人死於熱帶疾病，其中 12,240人 死於瘧疾。
