There were varying degrees of Romanization throughout Roman Dacia.	整个罗马达契亚有不同程度的罗马化。
₃·6H	₃·6H
₂O) may contain only 0.002% caesium.	₂O) 可能仅含 0.002% 的铯。
Consequently, caesium is found in few minerals.	因此，只在少数矿物中发现了铯。
Percentage amounts of caesium may be found in beryl (Be	在绿柱石 (Be
₃Al	₃Al
₂(SiO	₂(SiO
₃)	₃)
₆) and avogadrite ((K,Cs)BF	₆) 和氟硼钾石 ((K,Cs)BF
₄), up to 15 wt% Cs₂O in the closely related mineral pezzottaite (Cs(Be₂Li)Al₂Si₆O₁₈), up to 8.4 wt% Cs₂O in the rare mineral londonite ((Cs,K)Al	₄) 中可发现铯的百分比含量，在密切相关的矿物草莓红绿柱石 (Cs(Be₂Li)Al₂Si₆O₁₈) 中高达 15 wt% CS2O，在稀有矿物伦敦石 ((Cs,K)Al
₄Be	₄Be
₄(B,Be)	₄(B,Be)
₁₂O	₁₂O
₂₈), and less in the more widespread rhodizite.	₂₈) 中高达 8.4 wt% CS2O，而在分布更广的棱菱锰矿中含量较少。
A major theme in this story is that of a symbiotic relationship between a planet and its inhabitants, similar to that in The Word for World Is Forest.	这个故事的主要主题是一个星球与其居民之间的共生关系，与《世界的名字是森林》中的主题相似。
In her introduction to the story, Le Guin stated "We all have forests in our minds.	在这个故事的介绍中，Le Guin 说道：“我们心中都有森林。
Forests unexplored, unending.	未经探索的森林，没有尽头。
Each of us gets lost in the forests, every night, alone." The "vegetable love" referred to in the poem from which the title is taken can be used to describe the final relationship between Osden and the planetary intelligence of World 4470.	每天晚上独自一人时，我们每个人都会在森林里迷路。”标题出处的那首诗中提到的“植物之爱”可以用来描述 Osden 和 4470 世界的行星智能之间的最终关系。
When Osden is attacked by Porlock in the planet, he transmits his fear to the planet, which amplifies it and reflects it back at him.	当 Osden 在这个星球上受到 Porlock 攻击时，他将恐惧传给了星球，而星球将其放大并反射到他身上。
Thus Osden's role is similar to that of Selver in The Word for World is Forest, in that he introduces violence to the forest world.	因此，Osden 的角色类似于《世界的名字是森林》中的 Selver，因为他将暴力引入了森林世界。
The intelligence of Le Guin's forest has been contrasted to the "low" position occupied by vegetative beings in the works of other science fiction authors such as Arthur C. Clarke.	Le Guin 笔下森林的智慧与 Arthur C. Clarke 等其他科幻作家作品中的植物人所占据的“低级”地位形成对比。
An additional similarity between The Word for World Is Forest and "Vaster than Empires" is the theme of first contact between humans and a new environment.	《世界的名字是森林》和《甚于帝国》之间的另一个相似之处是人类与新环境的首次接触的主题。
In "Vaster than Empires," the forest is both the setting for the story and a character in it.	在《甚于帝国》中，森林既是故事的背景，也是其中的一个角色。
The forest directly responds to the humans with fear, a response that is similar to the response of Osden, the empath, to the rest of society: "the normal defensive-aggressive reaction between strangers meeting." Thus Le Guin makes an analogy between contact between humans and aliens, and contact between individual humans; both are contact between the self and the "other".	森林以恐惧直接回应人类，这种回应类似于异能者 Osden 对社会其他人的回应：“陌生人之间相遇时的正常防御 - 攻击回应。”因此 Le Guin 在人类与外星人的接触和人类个体之间的接触之间进行了类比；两者都是自我与“他人”之间的接触。
Osden is depicted as having a strong empathetic connection with the vegetated planet visited by the explorers.	Osden 被描绘为探险家访问的植被星球有着强烈的移情联系。
This is in contrast to the sharply antagonistic relationship that the other members of the team have with him.	这与队伍中其他成员与他的尖锐对立关系形成鲜明对比。
The team is depicted as a dysfunctional group, with each individual having quirks and oddities of their own.	这支队伍被描绘为一个不正常的群体，每个人都有自己的怪癖和奇怪之处。
They are regarded as being of "unsound mind" by the people of Earth and Hain, because they were willing to travel on a voyage that lasted 500 years of actual time.	他们被地球和 Hain 的人视为“心智不全”，因为他们愿意踏上一段实际时间长达 500 年的旅行。
The fear transmitted by the forest drives them further into their neuroticism.	森林传递的恐惧促使他们进一步陷入神经质。
In contrast, Osden the empath surrenders completely to the forest, and thus achieves a mental unity with the planet.	相比之下，异能者 Osden 完全屈服于森林，从而实现了与地球的精神统一。
In choosing a sort of union with the planet, Osden shows that the singular consciousness of the vegetative creature is preferable to the chaos and discord in human society.	在选择与地球的某种结合时，Osden 表明植物性生物的单一意识比人类社会的混乱和不和谐更可取。
At the conclusion of the story Tomiko describes Osden's relationship with the planet, saying "He had taken the fear into himself, and, accepting, had transcended it.	在故事的结尾，Tomiko 描述了 Osden 与这个星球的关系，他说：“他已经把恐惧带给自己，而且接受并超越了它。
He had given up his self to the alien, and unreserved surrender, that left no place for evil.	他已经把自己交给了外星人，毫无保留地投降，没有给邪恶留下任何空间。
He had learned the love of the Other and thereby had been given his whole self." Osden achieves a completely empathetic relationship with the planet, "both literally and figuratively in touch with the forest;" which also grants him temporary goodwill towards humans, as he says "Listen, I will you well" before leaving his colleagues.	他已经学会了对他人的爱，从而得到了他的整个自我。”Osden 与这个星球实现了完全的移情关系，“从字面和象征意义上都与森林建立了联系；”这也赋予了他对人类暂时的善意，正如他在离开同伴前说“听着，我要你好好的”。
Immediately after CR 557 joins US 40, the road enters Buena, Atlantic County and continues southeast into inhabited areas.	在 CR 557 与 US 40 汇合后，该公路立即进入大西洋县的 Buena，并继续向东南进入居民区。
After running through the commercial center of town, where it crosses the Southern Railroad of New Jersey's Southern Running Track line, the road comes to the southern terminus of Route 54 and the eastern end of CR 619 in a business area located on the outskirts.	在穿过城镇的商业中心后，在那里穿过新泽西州南方铁路的南方运行轨道线，道路来到位于郊区商业区的 54 号公路南端和 CR 619 东端。
At this point, it enters Buena Vista Township, and CR 557 splits form US 40 by heading to the southeast on Buena-Tuckahoe Road.	在该点，它进入 Buena Vista 镇，CR 557 从 US 40 分流，沿 Buena-Tuckahoe 路向东南方向延伸。
From this point, US 40 becomes concurrent with CR 557 Truck and enters dense woodland containing homes and businesses as well as occasional farms.	从该点开始，US 40 与 CR 557 干线并行，进入茂密的林地，住宅和企业以及三三两两的农场穿插其中。
The road reaches the residential community of Richland, where it encounters the eastern terminus of CR 540 and CR 622 and crosses Conrail Shared Assets Operations' Beesleys Point Secondary railroad line.	这条路到达 Richland 的住宅社区，在那里与 CR 540 和 CR 622 的东部终点站相遇，并穿过 Conrail Shared Assets Operations 的 Beesleys Point 二级铁路线。
Upon leaving Richland, the route crosses into Hamilton Township, where it runs through Mizpah before heading back into forested areas and a few residential sectors.	离开 Richland 后，该路线进入 Hamilton 镇，在那里穿过 Mizpah，然后回到森林地区和一些住宅区。
US 40 intersects the eastern terminus of CR 552, briefly becoming a divided highway before turning east into denser inhabited areas.	US 40 与 CR 552 的东部终点相交，短暂地成为一条分叉公路，然后转向东部进入密集居住区。
The highway intersects CR 559 Truck/CR 606, at which point it becomes concurrent with CR 559 Truck.	该公路与 CR 559 干线/CR 606 相交，在该点它与 CR 559 干线并行。
The route meets Route 50, where CR 557 Truck splits to the south.	该路线与 50 号路线相交，CR 557 干线在此向南分叉。
Route 50 joins US 40 before the road crosses the Great Egg Harbor River.	50 号路线在穿越 Great Egg Harbor 河之前与 US 40 相接。
Upon crossing the river, the road enters Mays Landing and turns north into the downtown area.	过河后，该路进入 Mays Landing，向北转入市中心。
CR 559 Truck splits southbound to follow CR 617 to the east.	CR 559 干线向南分叉，沿着 CR 617 向东延伸。
A short distance later, the road meets CR 559 and US 40 splits from Route 50 by turning east onto that route.	经过一小段距离后，该公路与 CR 559 相交，US 40 从 50 号路线分出，向东转入该路线。
This intersection marks the beginning of CR 559 Truck northbound.	这个十字路口标志着 CR 559 干线开始北行。
The road passes more development before CR 559 splits from the road by heading southeast.	在 CR 559 向东南方向分叉之前，这条路经过了更多的开发区。
US 40 heads east out of Mays Landing, where it continues through woodland and increasing residential development.	US 40 向东驶出 Mays Landing，继续穿过林地和越来越多的住宅开发区。
The road widens into four lanes as it comes to US 322 (Black Horse Pike) near the Hamilton Mall.	到达汉密尔顿购物中心附近的 US 322 (Black Horse Pike) 时，道路拓宽为四车道。
At this point, US 40 forms a concurrency with US 322, which lasts for the remainder of the route.	在该点，US 40 与 US 322 构成并行，一直持续到该路线的剩余部分。
The two routes continue to the southeast through business areas, meeting CR 575 and a ramp to the Atlantic City Expressway.	这两条路线继续向东南方向穿过商业区，与 CR 575 和通往大西洋城高速公路的匝道相遇。
CR 575 turns east to follow US 40/US 322.	CR 575 向东转弯，沿着 US 40/US 322 延伸。
Sixteen years before Oceanic 815 crashes on the island, Rousseau was a heavily pregnant member of a six-person crew aboard a French research vessel three days out of Tahiti.	在大洋航空 815 航班在岛上坠毁的 16 年前，Rousseau 是一艘从大溪地出发三天的法国研究船上六名船员中的一名临产期孕妇。
The crew picked up a radio signal emanating from the South Pacific, which was a repeating set of six numbers: 4, 8, 15, 16, 23 and 42.	船员接收到一个从南太平洋发出的无线电信号，这是一组重复的六个数字：4、8、15、16、23 和 42。
While attempting to find the source of the signal, the ship ran aground on rocks surrounding the island.	在试图寻找信号来源时，这艘船在岛屿周围的岩石上搁浅。
Before reaching the shore, Rousseau and her team found Oceanic 815 survivor Jin-Soo Kwon (Daniel Dae Kim) in the water, who had been time-travelling as a result of the time shifts which had been moving him and the flight survivors through the island's history.	在抵达岸边前，Rousseau 和她的团队在水中发现了大洋航空 815 航班的幸存者 Jin-Soo Kwon (Daniel Dae Kim)，由于时空穿越，他和航班幸存者在岛上的时间里一直在进行时间旅行。
Rousseau later tells the survivors of Oceanic 815 that two months after their arrival, that the island natives, which she called the Others, carried a disease that the rest of her crew had contracted.	Rousseau 后来告诉大洋航空 815 航班的幸存者，在他们到达两个月后，岛上的土著人也就是她口中的其他人，携带一种疾病，她的其他船员也感染了这种疾病。
She believed that this disease could not be allowed to reach the rest of the world, so she killed her colleagues, including her husband Robert.	她认为不能让这种疾病传播到世界其他地方，所以她杀死了她的同事，包括她的丈夫 Robert。
When Jin time-travels to the past, he witnesses a different version of Rousseau's past.	当 Jin 穿越到过去时，他目睹了 Rousseau 另一个版本的过往。
It is shown that the Smoke Monster, not the Others, was responsible for the "sickness" that forced her to kill her crew.	事实表明，是烟怪而不是其他人，才是迫使她杀死船员的“疾病”的原因。
Rousseau confronts the father of her child, Robert, at gunpoint and accuses him of "being changed" inside the temple.	Rousseau 用枪指着她孩子的父亲 Robert，指责他在神庙里“被变身”。
Robert denies this, explaining that the Monster is a security system for the temple, and convinces Rousseau to lower her weapon.	Robert 否认这一点，解释说烟怪是神庙的安全系统，并说服 Rousseau 放下武器。
He attempts to shoot her when she does, but is shot by Rousseau.	当她照做时，他试图向她开枪，但被 Rousseau 射杀。
Rousseau also attempts to kill Jin, having witnessed him vanish moments after her team entered the Smoke Monster's lair, believing he has the disease.	Rousseau 也试图杀死 Jin，因为她目睹了 Jin 在她的团队进入烟怪的巢穴后不久就消失了，认为他得了这种病。
Rousseau hiked to the radio tower and changed the message from the numbers to a repeating distress call. Three days later, Rousseau gave birth to a daughter, Alexandra.	Rousseau 徒步走到无线电塔，将讯息从数字更改为重复的求救信号。三天后，Rousseau 生下女儿 Alexandra。
One week after Alex's birth, Benjamin Linus (Michael Emerson) came and took Alex from Rousseau.	Alex 出生一周后，Benjamin Linus (Michael Emerson) 来到这里，从 Rousseau 手中接过 Alex。
Ben told Rousseau that the child would be safe with them, and that she was lucky for being left alive.	Ben 告诉 Rousseau，孩子和他们在一起会很安全，她能活着离开是很幸运的。
Before leaving, Ben tells her that if she hears whispers, she should run the other way.	在离开前，Ben 告诉她，如果听到耳语，就应该往另一个方向跑。
After this, Rousseau began setting traps in the jungle with the hope of catching one of the people responsible for Alex's kidnapping.	在这之后，Rousseau 开始在丛林中布设陷阱，希望能抓住对 Alex 的绑架负责的人之一。
Rousseau makes her first appearance in the season one episode "Solitary", where she captures Sayid (Naveen Andrews), one of the plane crash survivors.	Rousseau 在第一季的“孤单一人"这一集中首次路面，她俘获了飞机失事的幸存者之一 Sayid (Naveen Andrews)。
Rousseau tortures him until he eventually convinces her that he is not one of the Others.	Rousseau 折磨他，直到他最终让她相信他并非其他人之一。
She allows Sayid to return to his camp, and cautions him to keep a close eye on the other survivors.	她允许 Sayid 回到营地，并告诫他要密切留意其他幸存者的情况。
Among harem-holding species, the adult females mate only with their harem stallion, while in other species, mating is more promiscuous and the males have larger testes for sperm competition.	在拥有后宫的物种中，成年雌性只与它们的后宫公马交配，而在其他物种中，交配更加混乱，雄性有较大的睾丸用于精子竞争。
Estrus in female equines lasts 5–10 days; physical signs include frequent urination, flowing muscus, and swollen, everted labia.	雌性马的发情期持续 5–10 天；体征包括频繁排尿、粘液流动和阴唇肿胀、外翻。
In addition, estrous females will stand with their hind legs spread and raise their tails when in the presence of a male.	此外，发情的雌性在雄性面前会张开后腿站立并翘起尾巴。
Males assess the female's reproductive state with the flehmen response and the female will solicit mating by backing in.	雄性用裂唇嗅反应来评估雌性的生殖状态，雌性会通过后腿来寻求交配。
Length of gestation varies by species; it is roughly 11 to 13 months, and most mares come into estrus again within a few days after foaling, depending on conditions.	妊娠期长度因物种而异；大约是 11 到 13 个月，大多数母马在产驹后几天内再次发情，视情况而定。
Usually, only a single foal is born, which is capable of running within an hour.	通常只生一只马驹，它能在一小时内跑动。
Within a few weeks, foals attempt to graze, but may continue to nurse for 8–13 months.	在几周内，马驹会尝试吃草，但可能继续哺乳 8-13 个月。
Species in arid habitats, like Grévy's zebra, have longer nursing intervals and do not drink water until they are three months old.	干旱栖息地的物种，如细纹斑马，有更长的哺乳间隔，直到三个月大才喝水。
Among harem-holding species, foals are cared for mostly by their mothers, but if threatened by predators, the entire group works together to protect all the young.	在拥有后宫的物种中，马驹主要由它们的母亲照顾，但如果受到捕食者的威胁，整个群体会共同保护所有幼崽。
The group forms a protective front with the foals in the center and the stallion will rush at predators that come too close.	群体形成一个以马驹为中心的保护阵线，公马会冲向靠得太近的捕食者。
In territory-holding species, mothers may gather into small groups and leave their young in "kindergartens" under the guard of a territorial male while searching for water.	在拥有领地的物种中，母亲可能会聚集成小群，在寻找水源时将幼崽留在“幼儿园”，由领地的雄性看管。
Grévy's zebra stallions may look after a foal in his territory to ensure that the mother stays, though it may not be his.	细纹斑马的公马可能会照看自己领地内的马驹，以确保母亲留下来，尽管马驹可能不是它的孩子。
The earliest archaeological evidence for the domestication of the horse comes from sites in Ukraine and Kazakhstan, dating to around 4000-3500 BC.	关于马的驯化，最早的考古学证据来自乌克兰和哈萨克斯坦的遗址，可追溯到公元前 4000-3500 年左右。
By 3000 BC, the horse was completely domesticated, and by 2000 BC, a sharp increase occurred in the number of horse bones found in human settlements in northwestern Europe, indicating the spread of domesticated horses throughout the continent.	直到公元前 3000 年，马才被完全驯化，到公元前 2000 年，在欧洲西北部的人类居住区发现的马骨数量剧增，表明驯化的马遍布整个欧洲大陆。
The most recent, but most irrefutable, evidence of domestication comes from sites where horse remains were buried with chariots in graves of the Sintashta and Petrovka cultures c. 2100 BC.	最近但也是最无可辩驳的驯化证据来自于公元前 2100 年左右 Sintashta 和 Petrovka 文化的坟墓，遗址中马的遗骸与战车埋葬在一起。
Studies of variation in genetic material shows that very few wild stallions, possibly all from a single haplotype, contributed to the domestic horse, while many mares were part of early domesticated herds.	对遗传物质变异的研究表明，很少有野生公马可能全部来自单倍型，对家马有贡献，而许多母马是早期驯化畜群的一部分。
Przewalski's horse has been conclusively shown not to be an ancestor of the domestic horse, though the two can hybridize and produce fertile offspring.	普氏野马已被最终证明为不是家马的祖先，尽管两者可以杂交并产生可生育的后代。
The split between Przewalskii's horse and E. ferus caballus is estimated to have occurred 120,000– 240,000 years ago, long before domestication.	普氏野马和 E. ferus caballus 之间的分裂估计发生在 120,000– 240,000 年前，远在驯化之前。
Of the caballine equines of E. ferus, E. f. ferus, also known as the European wild horse or "tarpan", shares ancestry with the modern domestic horse.	在 E. ferus 的马科中，E. f. ferus 也被称为欧洲野马或“草原野马”，与现代家马有着共同的祖先。
In addition, tarpans that lived into modern times may have been hybridized with domestic horses.	此外，活到现代的草原野马可能已经与家马杂交。
In the early 20th century, "Nkosi Sikielel' iAfrika" was becoming popular with black Africans.	20 世纪初，“Nkosi Sikielel' iAfrika”开始在非洲黑人中流行。
In Southern Rhodesia it was originally sung in the original Xhosa language before being translated into Shona which created "Ishe Komborera Africa".	在南罗得西亚，它最初用原始的科萨语演唱，然后被翻译成创造了“上帝保佑非洲”的绍纳语。
The new Shona language hymn was first performed at the start of a meeting of the Southern Rhodesia Native Association and then again four days later at the closure of the first meeting of the Bantu National Congress, which the Southern Rhodesia Native Association later became affiliated to.	这首新的绍纳语赞美诗首次在南罗得西亚原住民协会的会议开始时演唱，四天后在班图国民大会第一次会议闭幕时再次演唱，南罗得西亚原住民协会后来成为该协会的附属机构。
By the 1948 African General Strike, it had become the main political song amongst black Africans.	到 1948 年非洲大罢工时，它已经成为非洲黑人的主要政治歌曲。
Despite that connotation, the song was accepted by black and white Rhodesians.	尽管有这样的内涵，这首歌还是被罗得西亚的黑人和白人所接受。
In 1951, at a British South African Police athletics competition, "Ishe Komborera Africa" was sung by combined black and white policemen to commemorate the first multi-racial competition in Southern Rhodesia.	1951 年，在英国南非警察田径比赛中，“上帝保佑非洲”由黑人和白人警察联合演唱，以纪念南罗得西亚的第一次多种族比赛。
Following Rhodesia's Unilateral Declaration of Independence from the British Empire, the new Rhodesian authorities started to crack down on African liberation movements.	在罗得西亚单方面宣布脱离大英帝国独立后，新的罗得西亚当局开始镇压非洲解放运动。
One of their considerations was to ban performance of "Ishe Komborera Africa" in African schools and public performance of it often made people liable for arrest by the British South African Police.	他们的考量因素之一是禁止非洲学校表演“上帝保佑非洲”，而公开表演经常导致人们被英国南非警察逮捕。
The District Commissioner for Gutu abolished the Gutu African Council after its leader opened a meeting by singing "Ishe Komborera Africa" in the District Commissioner's presence.	在古图非洲议会领导人在一次会议上当着区专员的面唱了“上帝保佑非洲”后，古图区专员废除了该议会。
The Commissioner also had the leader arrested but he was released without charge.	专员还逮捕了该领导人，但他被无罪释放。
Following the Southern Rhodesian general election, 1980, after Zimbabwe Rhodesia returned to British control as Southern Rhodesia, Robert Mugabe's Zimbabwe African National Union party won to become the first government of an independent Zimbabwe.	1980 年南罗得西亚大选后，津巴布韦罗得西亚作为南罗得西亚回归英国控制，罗伯特穆加贝领导的津巴布韦非洲民族联盟党获胜，成为独立津巴布韦的第一届政府。
After this, "Ishe Komborera Africa" was selected to replace the official "God Save the Queen" of Southern Rhodesia and the unofficial "Rise, O Voices of Rhodesia" of Rhodesia as the national anthem of an independent Zimbabwe as it was a symbol of black African struggles and solidarity against apartheid systems in South Africa and Namibia.	此后，“上帝保佑非洲”被选为独立津巴布韦的国歌，取代南罗得西亚的的官方国歌“天佑女王”和罗得西亚的非官方国歌“扬起罗得西亚的声音”，因为它是非洲黑人反对南非和纳米比亚种族隔离制度的斗争和团结的象征。
At the Zimbabwean independence ceremony, the Union Jack was lowered to "God Save the Queen" and the new flag of Zimbabwe was raised to "Ishe Komborera Africa" in Salisbury.	在津巴布韦独立仪式上，降下英国国旗时奏响“天佑女王”，在索尔兹伯里升起津巴布韦新国旗时奏响“上帝保佑非洲”。
In 1994, it was deemed that Zimbabwe should change its national anthem to avoid similarities with other countries who used the tune of "Ishe Kombererra Africa".	1994 年，人们认为津巴布韦应改变其国歌，以避免与其他使用“上帝保佑非洲”的曲调的国家相似。
Tanzania used "Mungu ibariki Afrika", Zambia used "Stand and Sing of Zambia, Proud and Free" (to the same tune) and Transkei who used "Nkosi Sikielel' 'Afrika".	坦桑尼亚使用“Mungu ibariki Afrika”，赞比亚使用“独立高歌赞比亚，自豪又自由”（曲调相同），特兰斯凯使用“Nkosi Sikielel' 'Afrika”。
It was also because Mugabe wanted to develop a new distinctly Zimbabwean identity with a unique national anthem.	这也是因为穆加贝想用一首独特的国歌来发展津巴布韦独特的新身份。
A contest was held to determine a new national anthem and "Simudzai Mureza wedu weZimbabwe" by Solomon Mutswairo was chosen.	为确定新国歌，举行了一场比赛，Solomon Mutswairo 的“Simudzai Mureza wedu weZimbabwe”被选中。
The new anthem was promoted prior to "Ishe Komborera Africa" being replaced as the official national anthem.	在“上帝保佑非洲”被官方国歌取代前，新国歌得到了宣传。
However, there was scepticism from Christians about the need for replacing "Ishe Komborera Africa" with the belief that it was part of a plan by ZANU-PF to remove references to God from Zimbabwe's official proceedings.	然而，基督徒对取代“上帝保佑非洲”的必要性持怀疑态度，认为这是 ZANU-PF 计划的一部分，目的是在津巴布韦的官方程序中免除对上帝的提及。
The change of anthem from "Ishe Komberera Africa" was later confirmed by the Parliament of Zimbabwe in 1995 by the passage of the National Anthem of Zimbabwe Act 10:15.	津巴布韦议会后来于 1995 年通过了津巴布韦国歌法 10:15，确认了“上帝保佑非洲”国歌的改变。
Sprigg was a member and sometime president of the Tri-State Agricultural Association of Allegany County, which held a fair at its grounds near Cumberland in October 1894 and 1895.	Sprigg 是 Allegany 县三州农业协会的成员，并曾担任过该协会的主席，该协会于 1894 年 10 月和 1895 年在坎伯兰附近的场地举行了展览会。
Sprigg was an active Freemason, and served as junior warden and later master of the Potomac Lodge, Number 100 of the Free and Accepted Masons, in Cumberland.	Sprigg 是一位活跃的共济会会员，曾担任坎伯兰自由石匠第 100 号 Potomac Lodge 分会的初级理事，后来担任会长。
He was also a charter member of Cumberland's McKinley Chapter 12 of the Order of the Eastern Star.	他也是坎伯兰东方之星会麦金莱第 12 分会的分会会员。
In 1905, Sprigg was elected as grand Adah of the order's Grand Maryland Chapter during the chapter's state convention in Cumberland; and that same year, he served as grand chaplain general of the McKinley Chapter.	1905 年，Sprigg 在坎伯兰的大马里兰分会的州会议上当选为该分会的大 Adah；同年，他担任麦金莱分会的大牧师。
Sprigg was a member of the Episcopal Church and attended Emmanuel Episcopal Church in Cumberland, where he served as vice president and president of the Emmanuel Episcopal Church Club.	Sprigg 是圣公会的成员，曾就读于坎伯兰的伊曼纽尔主教教堂，在那里他担任伊曼纽尔主教教堂俱乐部的副主席和主席。
As a former Confederate sympathizer during the American Civil War, Sprigg was active in Confederate memorial activities.	作为曾经的美国内战期间的同盟同情者，Sprigg 积极参与同盟纪念活动。
In 1902, he delivered a speech on behalf of Confederate veterans at Memorial Day exercises in Cumberland.	1902 年，他在坎伯兰的阵亡将士纪念日活动中代表同盟老兵发表了演讲。
Following a prolonged illness, Sprigg died at his residence on Washington Street in Cumberland on November 3, 1911.	在长期患病后，Sprigg 于 1911 年 11 月 3 日在坎伯兰华盛顿街的住所去世。
He was survived by his wife Mary Ellen and their four daughters.	他的妻子 Mary Ellen 和他们的四个女儿在世。
Sprigg's funeral service was held on November 6 at Emmanuel Episcopal Church in Cumberland.	Sprigg 的葬礼于 11 月 6 日在坎伯兰的伊曼纽尔主教教堂举行。
He was interred at Rose Hill Cemetery.	他被安葬在玫瑰山公墓。
The band's array of influences mostly include alternative indie rock bands Superchunk, Jawbox, Sunny Day Real Estate, the Flaming Lips, Fugazi, and Pavement.	乐队的一系列影响主要包括另类独立摇滚乐队 Superchunk、Jawbox、Sunny Day Real Estate、Flaming Lips、Fugazi 和 Pavement。
Additional artists that inspired the band includes Braid and The Rentals, Elvis Costello, Pixies, Tom Waits, Ben Folds, the Weakerthans, Poster Children, the Carpenters, and the Cardigans.	启发该乐队的其他艺术家包括 Braid and The Rentals、Elvis Costello、Pixies、Tom Waits, Ben Folds、Weakerthans、Poster Children、Carpenters 和 Cardigans。
AllMusic additionally credits bands such as Weezer and the Get Up Kids as influences, among others.	AllMusic 还将 Weezer 和 Get Up Kids 等乐队作为影响因素。
Pierre quoted Waits that "all anybody ever does is imitate their favorite artist—badly," adding, "we're just regurgitating all the crap we listened to in the late '80s and early '90s, the music that got us into playing music in the first place."	Pierre 引用 Waits 的话说，“所有人都在模仿他们最喜欢的艺术家 - 很糟糕，”并补充道，“我们只是在照搬 80 年代末和 90 年代初听过的所有垃圾音乐，就是这些音乐让我们一开始踏上玩音乐的道路。”
The band's musical style is widely recognizable by its unique blend of pop punk with the Moog synthesizer.	乐队的音乐风格因其流行朋克与 Moog 合成器的独特融合而得到广泛认可。
The usage of the Moog stems from Cain, who first heard the instrument employed on the Rentals' album Return of the Rentals (1995).	Moog 的使用源于 Cain，他第一次在 Rentals 乐队的专辑《Rentals 回归》(1995) 中听到使用了这种乐器。
He subsequently bought a cheap Moog at a pawn shop and wanted it to be an integral part of Motion City upon their formation.	后来他在当铺买了一个便宜的 Moog，并希望它在 Motion City 成立后成为他们不可或缺的一部分。
Johnson became known for his signature "Moogstand" in live performances, which consisted of a handstand on the instrument.	Johnson 在现场表演中以其标志性的“Moogstand”而闻名，其中包括在乐器上倒立。
The group has been widely attributed to a number of different genres, including pop rock, power pop, indie rock, emo, and pop punk.	这个团体被广泛归于一些不同的流派，包括流行摇滚、力量流行、独立摇滚、emo 和流行朋克。
Joshua Cain dismissed this latter label, remarking, "I definitely wouldn't consider us a pop-punk band.	Joshua Cain 驳斥了后一种标签，他说：“我绝对不会认为我们是一支流行朋克乐队。
Our influences are more based on '90s bands like Superchunk and early Weezer." Pierre characterized the band's music as "dirty, fast, happy, emotional rock songs."	我们的影响更多是基于 90 年代的乐队，如 Superchunk 和早期的 Weezer。”Pierre 将该乐队的音乐描述为“肮脏、快速、快乐、情绪化的摇滚歌曲。”
Nylon compared the music of their debut album, I Am the Movie, to All and the Get Up Kids.	Nylon 将他们的首张专辑《我是电影》的音乐与 All and the Get Up Kids 相比。
It has been described as having a "distinctly unified and identifiable style." Subsequent releases varied in style.	它被描述为具有“明显统一和可识别的风格。”随后发行的专辑风格各异。
My Dinosaur Life, for example, saw the band attempting to emulate their favorite post-hardcore acts, such as Archers of Loaf and Dinosaur Jr.	例如在“我的恐龙生活”中，乐队试图模仿他们最喜欢的后硬核乐队，如  Archers of Loaf 和 Dinosaur Jr。
"I Am Your Leader" is a hardcore hip-hop and electro-hop song that runs for three minutes and thirty-three seconds.	“我是你们的领袖”是一首硬核嘻哈和电音歌曲，持续 3 分 33 秒。
The production consists of a "chilled-out, humming beat punctuated on the chorus with a blunted fake-horn hook—halfway between classic-era Neptunes and Look At Me Now" according to Andrew Unterberger of Popdust.	据 Popdust 的 Andrew Unterberger 所说，这首歌的制作包括“冷静、哼唱的节拍 - 在副歌部分有减弱的假角钩，介于经典时代的‘海王星’和‘看看现在的我’之间。
It also contains repetitive, high-pitched, off-pitch synth hooks, and a booming, static bass.	它还包含重复、高亢、偏离音调的合成钩，以及轰鸣的静态低音。
"I Am Your Leader" makes use of sparse beats, frills, minimal instrumentation, and allows Minaj's rhymes to be the focal point, all of which gives the song "something of a mixtape feel" according to Joe Rivers of No Ripcord.	“我是你们的领袖”使用了稀疏的节拍、装饰、极少的乐器，让 Minaj 的押韵称为焦点，据 No Ripcord 的 Joe Rivers 说，所有这些都赋予了这首歌“混音带的感觉”。
In his review of the song, Unterberger of Popdust noted Hit-Boy's modern hip hop production, saying "Diplo and Bangladesh might have to watch their back after the up-and-comers contributions to this album." Adam Fleischer of XXL said "Nicki dishes boast-heavy verses about how she’s better than all these other bitches."	Popdust 的 Unterberger 在对这首歌的评论中指出了 Hit-Boy 的现代嘻哈制作，他说“在后起之秀对这张专辑做出贡献后，Diplo 和 Bangladesh 得小心了。”XXL 的 Adam Fleischer 说：“Nicki 用夸张的主歌讲述了她是如何超越其他所有人的 。”
"I Am Your Leader" received positive reviews from critics.	“我是你们的领袖”得到了评论家的肯定评价。
Andrew Unterberger of Popdust gave it a 4-star rating, complimenting Minaj's rapping as well as the guest verses of Cam'ron and Rick Ross.	Popdust 的 Andrew Unterberger 给出了 4 星评价，称赞 Minaj 的说唱以及 Cam'ron 和 Rick Ross 的嘉宾主歌。
However, Unterberger felt that Minaj was overshadowed by the guest verses.	然而，Unterberger 认为 Minaj 的光芒被嘉宾主歌所掩盖。
