There were varying degrees of Romanization throughout Roman Dacia.	Havia vários graus de romanização na Dácia Romana.
To link the two places, an electric tramway was built under the auspices of the Compagnie des Tramways de Cassel, which operated between 1900 and 1934. It was replaced by a bus link which still operates today.	Para ligar os dois locais, foi construído um carro elétrico sob os auspícios da Compagnie des Tramways de Cassel, o qual operou entre 1900 e 1934. Foi substituído por uma linha de autocarros, que opera até hoje.
Cassel served as the headquarters of Marshal Ferdinand Foch during the early part of the First World War, between October 1914 and May 1915.	Cassel serviu como quartel-general do marechal Ferndinand Foch, durante a primeira parte da Primeira Guerra Mundial, entre outubro de 1914 e maio de 1915.
Kruščica belonged to a group of concentration camps in the Independent State of Croatia where mass executions of inmates were performed.	Kruščica pertencia a um grupo de campos de concentração no Estado Independente da Croácia, onde execuções em massa de reclusos foram realizadas.
During first two months of the functioning of the camp, local residents killed three thousand people within it.	Durante os dois primeiros meses de funcionamento do campo, os residentes locais mataram três mil pessoas ali.
At the end of July 1941, the Ustaše, under the command of Boško Cvjenćek, captured and transported a group of 74 Serbs from Pale to the Kruščica camp with the false explanation that they were going to work and earn money.	No final de julho de 1941, o Ustaše, sob o comando de Boško Cvjenćek, capturou e transportou um grupo de 74 sérvios de Pale para o campo de Kruščica, com a explicação falsa de que iriam trabalhar e ganhar dinheiro.
All of them were killed.	Todos foram mortos.
All of them were cruelly massacred by Ustaše during the night on 5 August 1941.	Todos foram cruelmente massacrados pelo Ustaše durante a noite de 5 de agosto de 1941.
According to a 2001 work published by Hrvatski informativni centar and authored by Topalović, imprisoned Serbs were actually political prisoners who attacked the Ustaše, attempting to kill them, refusing all calls for surrender, so the Ustaše were forced to kill them.	De acordo com um trabalho de 2001, publicado por Hrvatski informativni centar e da autoria de Topalović, os sérvios emprisionados eram, na verdade, presos políticos que atacaram o Ustaše, tentaram matá-los, recusando todos os pedidos de rendição, pelo que o Ustaše foi forçado a matá-los.
Topalović also emphasized that the Ustaše commander of the camp, Josip Tehler was killed attempting to suppress the rebellion.	Topalović também sublinhou que o comandante do Ustaše do campo, Josip Tehler foi morto ao tentar conter a rebelião.
The first transport of inmates arrived at Kruščica between 28 August and 1 September 1941, when around 1,000 people, mostly Jewish women and children, were transported from concentration camps on Pag and in Gospić.	O primeiro transporte de reclusos chegou a Kruščica entre 28 de agosto e 1 de setembro de 1941, quando cerca de 1000 pessoas, principalmente mulheres e crianças judias, foram transportadas dos campos de concentração de Pag e Gospić.
During the night of 3 September 1941, members of the Ustaše broke into the houses of Jewish residents of Sarajevo, captured the inhabitants, and transported them to Kruščica.	Durante a noite de 3 de setembro de 1941, os membros do Ustaše invadiram as casas dos residentes judeus de Sarajevo, capturaram os habitantes e transportaram-nos para Kruščica.
The next day, the Ustaše plundered the homes of imprisoned Jewish victims.	No dia seguinte, o Ustaše pilhou as casas das vítimas judias emprisionadas.
At the beginning of September 1941, there were approximately 3,000 people interned in Kruščica camp, including 300 Serb women and children, with the remainder being Jews.	No início de setembro de 1941, existiam aproximadamente 3000 pessoas confinadas no campo de Kruščica, incluindo 300 mulheres e crianças judias, sendo as restantes pessoas judias.
All were housed in two buildings, 80 people to each room, without basic living conditions.	Todas as pessoas estavam alojadas em dois edifícios, 80 pessoas por divisão, sem as condições básicas de vida.
The Jewish community from Zagreb sent carloads of packages to inmates in Kruščica.	A comunidade judia de Zagreb enviou carregamentos de pacotes para os reclusos de Kruščica.
Local Ustaše burned these before the eyes of hungry children and women, who were unable to retrieve anything.	O Ustaše local queimou estes pacotes, queimando-os perante os olhos das crianças e mulheres esfomeadas, que não conseguiram recuperar nada.
It was difficult to accommodate and feed the inmates of this camp, so the Ustaše decided to resolve this difficulty by torturing inmates with forced labour and hunger and by killing them.	Era difícil acomodar e alimentar os reclusos neste campo, pelo que o Ustaše decidiu resolver esta dificuldade ao torturar os reclusos com trabalho forçado e forme, e matando-os.
The camp was destroyed after the Second World War.	O campo foi destruído após a Segunda Guerra Mundial.
One building was restored, and a memorial area, occupying around 2,000 m² was established, consisting of the restored building (containing a museum), a monument created by Fadil Bilić, incorporating a text from Ivan Goran Kovačić's poem Jama, and several memorial plaques commemorating communities interned in the camp (including those from Zenica and Pale).	Um edifício foi restaurado e uma área memorial, que ocupa cerca de 2000 m², foi estabelecida, consistindo no edifício restaurado (que contém um museu), um monumento criado por Fadil Bilić, que incorpora um texto do poema Jama de Ivan Goran Kovačić, e várias placas memoriais que comemoram as comunidades internadas no campo (incluindo as provenientes de Zenica e Pale).
This memorial area became known as the 'Black House' (Crna kuća).	Esta área memorial tornou-se conhecida como a "Casa Preta" (Crna kuća).
During the War in Bosnia & Herzegovina, the museum's contents were removed.	Durante a guerra na Bósnia e Herzegovina, os conteúdos do museu foram removidos.
In 2014, the site was declared a National Monument of Bosnia and Herzegovina.	Em 2014, o local foi declarado um monumento nacional da Bósnia e Herzegovina.
Originally, Silberling envisioned employing novice actors in the lead roles, but acknowledged performers with the level of recognition of Cage and Meg Ryan would attract support for the production.	Originalmente, Silberling previa recorrer a atores principiantes para os papéis principais, mas intérpretes conhecidos, com o nível de reconhecimento de Cage e Meg Ryan atrairiam o apoio da produção.
After having completed action-oriented roles in The Rock, Con Air and Face/Off, Cage was eager to star in a more profound film when he received Stevens' screenplay.	Depois de interpretar os papéis de ação em The Rock, Con Air e Face/Off, Cage estava entusiasmado por estrelar num filme mais profundo, quando recebeu o argumento de Stevens.
He agreed to accept the role, noting the spiritual issues in the story and the impact it had on him, but not elaborating on his own beliefs.	Concordou em aceitar o papel, notando as questões espirituais na história e o impacto que tiveram nele, mas não elaborando as suas próprias crenças.
Ryan also agreed to accept the role of Maggie, remarking "I don't know if angels are floating around, but the idea that there's a guiding force is something I embrace".	Ryan também concordou em aceitar o papel de Maggie, comentando "Eu não sei se os anjos voam à nossa volta, mas a ideia de que existe uma força-guia é algo que eu adoto".
Andre Braugher, an actor on the television series Homicide: Life on the Street, was able to work on the project while Homicide was on break before the beginning of its sixth season.	Andre Braugher, um ator da série de televisão Homicide: Life on the Street, conseguiu trabalhar no projeto enquanto Homicide estava em pausa, antes do início da sua sexta temporada.
His new co-star Dennis Franz was also starring on a police procedural series, NYPD Blue.	O seu novo coprotagonista, Dennis Franz, também protagonizava uma série de processos policiais, NYPD Blue.
Cage said that with this role, he had to switch from his regular methods of constant movements to trying to be "effective" while often still.	Cage disse que, com este papel, teve de mudar dos seus métodos regulares de movimentos constantes para tentar ser "eficaz" enquanto, frequentemente, imóvel.
He remarked on having to adopt the mindset of a child, and act impressed by commonplace experiences such as feeling rain or sunlight.	Referiu ter de adotar o pensamento de uma criança e parecer impressionado por experiências comuns, tais como sentir a chuva ou a luz do sol.
A rig for the camera was built for the scene where the angelic Seth sees Maggie look in the mirror, and the crew shot the mirror without the actors for one take so Cage's reflection could be edited out from the take with both.	Foi construída uma plataforma para a câmara, para a cena onde o angélico Seth vê Maggie observar-se no espelho, e a equipa filmou o espelho sem os atores num take para que o reflexo de Cage pudesse ser retirado do take com ambos.
Other special effects involved a "going to the light" afterlife depiction, in which Seth walks with a little girl, played by Sarah Dampf, who has died.	Outros efeitos especiais envolveram uma representação da vida depois da morte "seguindo a luz", na qual Seth caminha com a menina, interpretada por Sarah Dampf, que tinha morrido.
After cinematographer John Seale shot the scene in a hallway, Sony Pictures Imageworks' John Nelson increased the brightness to end in white, adding splinters of light.	Após o cinematógrafo John Seale filmar a cena num corredor, John Nelson da Sony Pictures Imageworks aumentou a luminosidade para terminar com branco, adicionando fragmentos de luz.
Some of the film was shot at Lake Tahoe's surrounding areas and Kern County.	Parte do filme foi filmado nas áreas circundantes do Lake Tahoe e em Kern County.
The "falling" scene was partially shot at the Los Angeles Bank of America, while Cage was placed on a moving rig over a bluescreen.	A cena da "queda" foi gravada parcialmente no Los Angeles Bank of America, enquanto Cage estava colocado num anel móvel sobre um chroma key.
Ryan's death scene was filmed on Old Mill Road in Crestline, California.	A cena da morte de Ryan foi filmada na Old Mill Road em Crestline, Califórnia.
The library scenes were shot at San Francisco Public Library.	As cenas da biblioteca foram filmadas na San Francisco Public Library.
For angel scenes shot at Malibu Beach, though the characters are not physical beings, it was decided that the angels would have briefly visible footprints to avoid the perception that the sand was too hard to leave imprints.	Para as cenas de anjos filmadas em Malibu Beach, embora as personagens não fossem seres físicos, decidiu-se que os anjos teriam pegadas brevemente visíveis para evitar a perceção de que a areia era demasiado dura para deixar marcas.
Thus, Nelson erased the footprints soon after they are first seen.	Assim, Nelson eliminava as pegadas logo após serem inicialmente vistas.
The score was composed by Gabriel Yared, often using three notes to convey ascent.	A banda sonora foi composta por Gabriel Yared, frequentemente utilizando três notas para transmitir a ascensão.
Pop synthesizers, pianos and strings were used for the three-note compositions where the angels observe Los Angeles, where the child in the prologue dies and where Seth experiences Maggie's despair, respectively.	Utilizaram-se sintetizadores pop, pianos e cordas nas composições de três notas, quando os anjos observam Los Angeles, quando a criança do prólogo morre e quando Seth sente o desespero de Maggie, respetivamente.
Yared also employed violins and celli, sometimes using one to accompany a line of voice-over dialogue and another for follow-up dialogue.	Yared também utilizou violinos e violoncelos, por vezes, utilizando um para acompanhar uma linha de diálogo em voz-off, e outro para o diálogo que se seguia.
With the entry of Japan into the war, Fairley flew to Java in January 1942.	Com a entrada do Japão na guerra, Fairley voou até Java em janeiro de 1942.
Fairley was well aware that Java produced 90% of the world's supply of quinine and that the implications would be serious if Java was lost.	Fairley sabia muito bem que Java produzia 90% das provisões mundiais de quinina e que as implicações seriam graves no caso de se perder Java.
He arranged for the purchase of all available stocks of quinine, some 120 long tons (120 t).	Organizou a compra de todos os stocks de quinina, de cerca de 120 toneladas longas (120 t).
Fairley was informed that the quinine had been loaded on board two ships.	Fairley foi informado que a quinina tinha sido carregada a bordo de dois navios.
One was never seen again.	Um nunca voltou a ser visto.
The other, the SS Klang, reached Fremantle in March.	O outro, o SS Klang, chegou a Fremantle em março.
Although 20 long tons (20 t) of quinine was loaded on board, it was apparently unloaded when the ship stopped at Tjilatjap, possibly due to fifth columnists.	Embora 20 toneladas longas (20 t) de quinina estivessem carregadas a bordo, estas foram, aparentemente, descarregadas quando o navio parou em Tjilatjap, possivelmente devido a traidores.
Thus, none of the shipment reached Australia.	Assim, nenhum dos carregamentos chegou à Austrália.
Fairley himself departed Java with the I Corps staff on the transport Orcades on 21 February 1942 shortly before Java fell.	O próprio Fairley partiu de Java com o pessoal do I Corps no transporte Orcades a 21 de fevereiro de 1942, pouco depois da queda de Java.
In General Sir Thomas Blamey's reorganisation of the Australian Army in April 1942, Fairley was appointed director of medicine at Allied Land Forces Headquarters (LHQ) in Melbourne.	Na reorganização do general Sir Thomas Blamey do exército australiano em abril de 1942, Fairley foi nomeado diretor de medicina no Allied Land Forces Headquarters (LHQ) em Melbourne.
Fairley was soon facing a series of medical emergencies caused by the Kokoda Track campaign.	Fairley enfrentou rapidamente uma série de urgências médicas causadas pela campanha Kokoda Track.
An epidemic of bacillary dysentery was headed off by Fairley's decision to rush all available supplies of sulphaguanadine to New Guinea.	Uma epidemia de disenteria bacilar foi evitada pela decisão de Fairley de enviar rapidamente todas as provisões de sulfaguanadina disponíveis para a Nova Guiné.
On Fairley's advice every man who complained of diarrhoea was given the drug and the epidemic was brought under control in ten days.	Sob recomendação de Fairley, a todos os homens que se queixassem de diarreia era administrado o medicamente e a epidemia foi controlada em dez dias.
But Fairley's main concern was malaria.	Mas a principal preocupação de Fairley era a malária.
Despite the experience with malaria in the Middle East, most of the troops had a poor understanding of anti-malaria precautions and few medical officers had encountered the disease.	Apesar da experiência com a malária no Médio Oriente, a maioria das tropas tinham uma fraca compreensão relativa às precauções contra a malária, e várias autoridades médicas tinham-se deparado com a doença.
In combination with critical shortages of drugs and anti-malarial supplies such as netting, insecticides and repellents, the result was a medical disaster.	Em conjunto com a escassez crítica de medicamentos e provisões contra a malária, tais como redes, inseticidas e repelentes, o resultado foi um desastre médico.
In the 13-week period from 31 October 1942 to 1 January 1943, the Army reported 4,137 battle casualties, but 14,011 casualties from tropical diseases, of which 12,240 were from malaria.	No período de 13 semanas de 31 de outubro de 1942 a 1 de janeiro de 1943, o exército registou 4137 vítimas da guerra, mas 14 011 vítimas de doenças tropicais, das quais 12 240 foram causadas pela malária.
The government grimly contemplated disbanding divisions to replace malaria casualties.	O governo contemplou severamente o licenciamento das divisões para substituir as vítimas da malária.
"Our worst enemy in New Guinea," General Blamey declared, "is not the Nip—it’s the bite."	"O nosso maior inimigo na Nova Guiné", declarou o general Blamey, "não são os japoneses — são as picadas".
This caused Blamey to despatch a medical mission headed by Fairley to the United States and the United Kingdom in September 1942 to present the Army's case for a more adequate and equitable share of anti-malarial supplies.	Isto levou Blamey a enviar uma missão médica liderada por Fairley para os Estados Unidos e o Reino Unido em 1942 para apresentar caso do exercito com uma partilha de provisões contra a malária mais adequada e igualitária.
Illinois farmer David Johnson built his 31-foot-tall (9.4 m) goat tower in Shelby County, near Findlay, after seeing an article on Fairview in the magazine Decanter.	O agricultor David Johnson, do Illinois, construiu a sua torre de cabras com 31-pês-de-altura (9,4 m) em Shelby County, perto de Findlay, depois de ver um artigo sobre Fairview na revista Decanter.
Another goat tower was built in the outdoor-seating area of Silky O'Sullivan's bar in Memphis, Tennessee on Beale Street.	Foi construída outra torre de cabras na área ao ar livre do bar Silky O'Sullivan em Memphis, Tennessee, na Beale Street.
In a Waunakee, Wisconsin goat petting zoo, a goat tower was built by the Endres family.	Num jardim zoológico de cabras em Waunakee, Wiscousin, a família Endres construiu uma torre de cabras.
The tower was designed in a Bavarian style to match other buildings of the area.	A torre foi concebida ao estilo da Baviera para combinar com outros edifícios da zona.
The owners claim it is the fifth goat tower ever constructed after the ones in Fairview, the “Tower of Baaa” in Findlay, Memphis, and Ekeby.	Os proprietários afirmam que é a quinta torre de cabras construída depois das construções em Fairview, a "Tower of Baaa" em Findlay, Memphis e Ekeby.
Life at the Bottom has received mostly positive reviews.	Life at the Bottom recebeu maioritariamente críticas positivas.
Gregory Schneider of the Topeka Capital-Journal called the collection "the best exploration of the problems of poverty ever written." America magazine writer, Peter Heinegg, considered the essays to be a "barrage of breathtakingly horrible true-life...stories", but he said that Dalrymple puts too much of his personal "snorting indignation" into the text without letting the reader draw their own conclusions.	Gregory Schneider do Topeka Capital-Journal apelidou a coleção de "a melhor exploração dos problemas da pobreza jamais escrita". O escritor da revista America, Peter Heinegg, considerou os ensaios uma "onda de horríveis… histórias reais de cortar o fôlego". Contudo, afirmou que Dalrymple coloca muito da sua "indignação resfolgante" no texto sem permitir que o leitor tire as suas próprias conclusões.
He ended by saying, "Dalrymple's case sounds like a paranoid tirade or perverse tribute, but it is at least partially redeemed by the barrage of breathtakingly horrible true-life (one assumes) stories that this very angry doctor tells...to bolster it." John Clark of Liberty magazine called it "so compelling...that I read it cover to cover in a day's time—and later reread it twice."	Termina ao afirmar que "o caso de Dalrymple parece uma tirada paranoica ou um tributo perverso, mas é, pelo menos parcialmente, redimido pela onda de horríveis histórias reais (presumimos) que este furioso médico conta… para reforçar". John Clark, da revista Liberty, referiu-se ao conteúdo como sendo "muito envolvente… que li do início ao fim num só dia e que mais tarde voltei a ler duas vezes."
Thomas Sowell, a pundit and social critic, described it as "brilliant and insightful" in Capitalism magazine and "an insightful and devastating eyewitness account of the white underclass in Britain" in the Jewish World Review.	Thomas Sowell, um comentador e crítico social, descreveu o conteúdo como "brilhante e profundo" na revista Capitalism e "um testemunho devastador e detalhado da subclasse branca na Grã Bretanha" na Jewish World Review.
Overall, Sowell said that the collection was able to explain that "One of the most telling examples of the social destructiveness of the left's welfare-state vision can be found among the white slum dwellers in Britain." Atlanta Journal-Constitution writer, Theresa K. Weaver, called the collection "saddening, infuriating, and ultimately not terribly empowering", stating that she wishes Dalrymple "might at least offer a few ideas on turning everything around." Arthur Foulkes of the Carolina Journal described it as a "fine book" that "offers much to friends of liberty everywhere." Roger Donway of The Atlas Society considered it to be "one of the most instructive books that I have read in many years".	No geral, Sowell afirmou que a coleção foi capaz de explicar que "Um dos mais esclarecedores exemplos de destrutivismo social da visão do Estado social de esquerda está presente nos moradores de bairros sociais brancos na Grã Bretanha". Theresa K. Weaver, escritora do Atlanta Journal-Constitution, denominou a coleção de "entristecedora, revoltante e, no fundo, não muito fortalecedora", afirmando que queria que Dalrymple "oferecesse, pelo menos, algumas ideias sobre como mudar a situação". Arthur Foulkes do Carolina Journal, descreveu a obra com "um bom livro" que "oferece muito aos amigos da liberdade em todo o mundo". Roger Donway do The Atlas Society, considerou-o "um dos livros mais instrutivos que li nos últimos anos".
Stephen Goode, writing for Insight on the News, said that the collection argued its "position brilliantly and with impressive passion".	Stephen Goode, a escrever para o Insight of the News, afirmou que a coleção argumentou "a sua posição de forma brilhante com uma paixão notável".
The National Observer wrote that it "has much value", if it is taken as an "antidote to fashionable loose thinking".	O National Observer escreveu que "tem muito valor" se for considerado um "antídoto ao pensamento livre da moda".
Phips arrived back in Boston in the summer of 1688 and was welcomed back as a hero.	Phips regressou a Boston no verão de 1688 e foi recebido como um herói.
His wife seemed very happy to see him.	A sua esposa parecia estar muito feliz em vê-lo.
He was celebrated in sermons and at the Harvard college commencement he was compared to Jason fetching the Golden Fleece.	Foi celebrado em sermões e, durante uma cerimónia em Harvard, foi comparado a Jasão a apanhar o Velo de Ouro.
Andros and Randolph were not so happy to see him and it seems the feeling was mutual.	Andros e Randolph não estavam assim tão felizes com o reencontro e o sentimento era mútuo.
Almost all of New England was unified in their opposition to Andros and Randolph.	Quase toda a região de New England uniu-se na sua oposição a Andros e Randolph.
Phips, despite having been captain of Randolph's gunship in 1683-4, does not seem to have carried an association with Randolph in the minds of the people of Massachusetts Bay.	Apesar de Phips ter sido capitão do porte de armas de Randolph em 1683-4, parece não ter ficado associado a este na mente das pessoas da Baía de Massachusetts.
Andros swore Phips into his new post in early July, but his council refused Phips' demand that the previously named sheriffs be dismissed.	Andros jurou Phips na sua nova função no início de julho, mas o seu conselho recusou a exigência de Phips para que os xerifes anteriores fossem dispensados.
If Phips had simply wanted a share in the spoils of the Dominion, he might have stuck around and kept his head down.	Se Phips tivesse apenas pretendido uma parte dos despojos do Dominion, poderia ter ficado a viver discretamente.
Instead he stayed home in Boston only six weeks before shipping back to London to join with Increase Mather in opposing the Dominion and seeking to restore the original charter.	Em vez disso, ficou em Boston apenas seis semanas antes de voltar a Londres para se juntar a Increase Mather na oposição a Dominion e na procura de restabelecer o fretamento original.
This seems to be the first mention of Phips in Increase Mather's diary or correspondence.	Esta parece ser a primeira menção a Phips no diário ou na correspondência de Increase Mather.
Motivated by a shared dislike of Andros, Phips and Increase Mather worked together to bring about his downfall.	Motivados por uma antipatia comum relativamente a Andros, Phips e Increase Mather trabalharam em conjunto para planear a sua ruína.
After the Glorious Revolution in late 1688 replaced the Catholic James with the Protestant monarchs William III and Mary II, Phips and Mather petitioned the new monarchs for restoration of the Massachusetts charter, and successfully convinced the Lords of Trade to delay the transmission of formal instructions about the change of power to Andros.	Depois da Revolução Gloriosa nos finais de 1688 ter substituído o Católico James pelos monarcas Protestantes William III e Mary II, Phips e Mather solicitaram aos novos monarcas a restauração do fretamento de Massachusetts e convenceram, com sucesso, os Senhores do Comércio a adiar a transmissão de instruções formais sobre a mudança de poder para Andros.
Phips returned to Boston in May 1689, carrying proclamations from the king and queen, and found Andros and Randolph had already been arrested in a revolt in Boston.	Phips regressou a Boston em maio de 1689, trazendo proclamações do rei e da rainha, e encontrou Andros e Randolph presos devido a uma revolta em Boston.
Phips served for a time as an overseer guarding Andros and Randolph in the prison at Castle Island.	Phips serviu como supervisor de Andros e Randolph na prisão de Castle Island.
If Paris were worth a mass to Henry IV, Boston was worth a conversion, in the Puritan sense, to William Phips.	Se Paris teve direito a uma missa para Henry IV, Boston valia uma conversão, no sentido Puritano, a William Phips.
The turmoil in England and William's accession to the throne had prompted New France's Governor to take advantage of the political turmoil in New England, launching a series of Indian raids across the northern frontier in 1689 and early 1690.	Os tumultos em Inglaterra e a ascensão de William ao trono fizeram com que o Governador de New France se aproveitasse dos conflitos políticos em New England, lançando uma série de ataques indígenas na fronteira a norte em 1689 e no início de 1690.
When a frontier town in Maine was overrun in early March 1690, the French were perceived as instigators and the provisional government of Massachusetts, began casting about for a major general to lead an expedition against the French in Acadia.	Quando uma localidade fronteiriça em Maine foi invadida no início de março de 1690, os franceses foram interpretados como sendo instigadores e o governo provisional de Massachusetts começou a procurar um Major-general para liderar uma expedição contra os franceses em Acádia.
Phips had not demonstrated military interests as a young man.	Enquanto jovem, Phips não demonstrou interesse em assuntos militares.
During King Philip's War, when many took up arms, Phips built ships and cut lumber.	Durante a Guerra do Rei Philip, enquanto muitos pegaram em armas, Phips construiu barcos e cortou lenha.
John Knepp's journal testifies to Phips constitutional disinterest in military discipline.	O diário de John Knepp retrata o desinteresse constitucional de Phips na disciplina militar.
Alongside her acting work, Kapoor has established a career as a designer.	Para além do seu trabalho na representação, Kapoor estabeleceu uma carreira como designer.
During her five-year association with the retail chain Globus, Kapoor became the first Indian actress to launch her own line of clothing for women; she described the collaboration as being "special" and "reflective of my personal sense of style".	Durante os cinco anos de ligação com a cadeia de lojas Globus, Kapoor tornou-se na primeira atriz indiana a lançar a sua própria linha de vestuário para mulheres. Kapoor descreveu a colaboração como sendo "especial" e "um reflexo do meu próprio estilo pessoal".
Her collection made its debut several months later in stores across India, and was well received.	A sua coleção estreou-se vários meses mais tarde em lojas na Índia e foi bem recebida.
Following the end of her contract with Globus, she expressed a desire to work with a design house to release her clothing line internationally, but later explained that those plans were on hold.	Após o fim do contrato com a Globus, expressou um desejo de trabalhar com uma casa de moda para lançar a sua linha de roupa internacionalmente. Contudo, mais tarde, explicou que esses planos ficaram suspensos.
In August 2018, Kapoor collaborated with Lakmé Cosmetics to launch her own line of cosmetics.	Em agosto de 2018, Kapoor colaborou com a Lakmé Cosmetics para lançar a sua própria linha de cosméticos.
In 2009, Kapoor worked with nutritionist Rujuta Diwekar on Don't Lose Your Mind, Lose Your Weight, a book which focused on the principles of healthy eating habits.	Em 2009, Kapoor trabalhou com a nutricionista Rujuta Diwekar em Don't Lose Your Mind, Lose Your Weight, um livro focado em princípios de hábitos alimentares saudáveis.
Published by Random House Publications, the book was well received by critics, and sold 10,000 copies within its first twenty days.	Publicado pela Random House Publications, o livro foi bem recebido pela crítica e vendeu 10 000 cópias nos primeiros 20 dias.
A follow-up titled, Women and The Weight Loss Tamasha, was released two years later.	Foi lançado um segundo livro, Women and The Weight Loss Tamasha, dois anos mais tarde.
It addressed the weight loss concerns and eating habits of women in various parts of their life, and featured Kapoor in a voice-over for the audiobook.	Este aborda preocupações relativas à perda de peso e aos hábitos alimentares das mulheres nas várias fases da vida, contando com a locução de Kapoor no audiolivro.
In February 2013, Kapoor released her autobiographical memoir: The Style Diary of a Bollywood Diva.	Em fevereiro de 2013, Kapoor lançou as suas memórias autobiográficas: The Style Diary of a Bollywood Diva.
Co-written alongside Rochelle Pinto, it became the first book to be launched under the Shobhaa De imprint of Penguin Books—a set of series that included celebrity memoirs, guides and biographies.	Escrito em conjunto com Rochelle Pinto, tornou-se no primeiro livro a ser lançado na impressão Shobhaa De da Penguin Books, um conjunto de obras que inclui livros de memórias, guias e biografias de celebridades.
In a review published by Mint, Shefalee Vasudev criticised the writing style as "too-breezy" but further stated that it is "a well-produced book, reproducing chirpy little post-it notes and diet charts, punctuated with Bebo's stunning pictures from her private albums to fashion magazine covers." Later that year, she collaborated with Diwekar for the third time on The Indian Food Wisdom and The Art of Eating Right, a documentary film about nutrition.	Numa crítica publicada pela Mint, Shefalee Vasudev criticou o estilo da escrita como sendo "demasiado leve", mas referiu também que é "um livro bem produzido, que reproduz pequenas notas em post-its e gráficos de dietas, intercalados com as maravilhosas imagens de Bebo, provenientes dos seus álbuns pessoais e de capas de revistas de moda". Mais tarde, nesse ano, colaborou com Diwekar uma terceira vez em The Indian Food Wisdom and The Art of Eating Right, um documentário sobre nutrição.
During her years in the film industry, Kapoor has been actively involved in promoting children's education and the safety of women.	Durante a sua carreira na indústria cinematográfica, Kapoor esteve envolvida ativamente na promoção da educação das crianças e da segurança das mulheres.
In June 2010, she took part in the international campaign 1GOAL Education for All, and was appointed ambassador for the Shakti Campaign—a project launched by NDTV to combat violence against women—in commemoration of the 100th anniversary of International Women's Day.	Em junho de 2010, participou na campanha internacional 1GOAL Education for All e foi apontada embaixadora da Campanha Shakti, um projeto lançado pela NDTV para combater a violência contra as mulheres em comemoração do 100.º aniversário do Dia Internacional da Mulher.
Two years later, Kapoor launched Channel V's anti-rape mobile app 'VithU'; she stated that with an increasing amount of violence against women in India, "[i]t [was] important for actors to stand up for issues because they can reach out to a lot of people."	Dois anos depois, Kapoor lançou a app móvel do Channel V contra a violação, 'VithU'. Afirmou que devido ao aumento da violência contra as mulheres na Índia, "é importante os atores darem voz aos problemas, uma vez que conseguem alcançar muitas pessoas."
In January 2014, Kapoor began working with UNICEF to advocate the education of girls and increase quality based education in India.	Em janeiro de 2014, Kapoor começou a trabalhar com a UNICEF para defender a educação das raparigas e aumentar a educação baseada na qualidade na Índia.
Speaking of her association, she expressed hope in creating places "where children feel safe and secure, and where interactive and creative tools are used to ensure that children are happy and learning." During the first year, Kapoor visited schools in the states of Rajasthan and Maharashtra where she interacted with students and participated in fundraising events hosted by the Kasturba Gandhi Balika Vidyalaya organisation in the Jalna district.	Ao falar da sua ligação, expressou ter esperança na criação de locais "onde as crianças se sintam seguras e onde as ferramentas interativas e criativas são usadas para garantir que as crianças estão felizes e a aprender". Durante o primeiro ano, Kapoor visitou escolas nos estados de Rajasthan e Maharashtra onde interagiu com estudantes e participou em eventos de angariação de fundos organizados pela organização Kasturba Gandhi Balika Vidyalaya no distrito de Jalna.
Along with UNICEF India's Goodwill Ambassador (Sharmila Tagore), Kapoor hosted a charity dinner to help raise awareness for the development of underprivileged kids, and launched the 'Child-Friendly School and Systems' (CFSS) package.	Em conjunto com a Embaixadora da Boa Vontade da UNICEF (Sharmila Tagore), Kapoor organizou um jantar de beneficência para sensibilizar relativamente ao desenvolvimento de crianças desfavorecidas, lançando o pacote "Child-Friendly School and Systems" (CFSS).
She later donated an equivalent amount of the funds raised during a joint initiative by UNICEF and Groupon for a higher-quality learning environment in Indian schools.	Mais tarde, efetuou o donativo do montante equivalente angariado durante uma iniciativa conjunta da UNICEF e do Groupon, para um ambiente de aprendizagem com mais qualidade nas escolas indianas.
The following year, she awarded 31 students and 5 teachers for their contribution towards the field of education in Chhattisgarh at the concluding ceremony of Child Rights Protection week.	No ano seguinte, premiou 31 estudantes e 5 professores pelas suas contribuições na área da educação em Chhattisgarh, durante a cerimónia de encerramento da semana de Proteção dos Direitos das Crianças.
In the Bahamas after the storm, a boat sailed from Nassau to deliver food and building materials to Eleuthera.	Nas Bahamas, após a tempestade, um barco viajou de Nassau para entregar alimentos e materiais de construção a Eleuthera.
After the storm, the National Guard offered shelters for at least 400 homeless residents in Stuart.	Depois da tempestade, a Guarda Nacional disponibilizou abrigos para, pelo menos, 400 residentes em Stuart.
Of the 7,900 families adversely affected by the hurricane, 4,325 required assistance from the American Red Cross.	Das 7900 famílias afetadas pelo tornado, 4325 necessitaram de assistência da Cruz Vermelha Americana.
Farmers in Texas, also affected by a major hurricane, requested growers in Florida wait 15 days so they could sell their citrus crop that fell.	Agricultores no Texas, também afetados por um grave tornado, pediram aos produtores na Flórida para aguardarem 15 dias para que pudessem vender a sua colheita de citrinos que havia caído.
The damaged dam near Tampa initially resulted in waters from the Hillsborough River being pumped into the city's water treatment plant, and a new dam was eventually built in 1944.	A barragem danificada perto de Tampa inicialmente resultou no bombeamento de águas do Rio Hillsborough para a estação de tratamento de águas da cidade. Eventualmente, uma nova barragem foi construída em 1944.
